Language,Dialect,DialectAlt,DialectContinuum,DialectContinuumAlt,SubDialect,SubDialectAlt,NativeSpeakers,LocationCountry,LocationCountryInfo,Level1Eng,Level2Eng,Level1Kur,Level2Kur,LocationOld,LocationAlt,LocationKur,LocationType,LocationInfo,,,DialectDensity,NativeSpeakersYear,OfficialLanguage,Notes,Sources
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Kars,,Qers,Kars,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Bayazit,,Bayazit,Bayazit,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Van,,Wan,Van,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Hakkari,,Culemêrg,Hakkari,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Syria,,,Afrin,,Efrîn,Afrin,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Syria,,,Qamishli,,Reedy,Qamishli,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iraq,,,Dohuk,,Dohuk,Dohuk,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iraq,,,Rewandiz,,Rewandiz,Rewandiz,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Urmia,,Urmia,Urmia,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Maku,,Tam,Maku,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Azerbaijan,,,Kelbajar,,bazara mûz,Kelbajar,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Azerbaijan,,,Lachin,,çîn,Lachin,,,City,,,,middle,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Ankara,,Enqere,Ankara,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Cankiri,,Cankiri,Cankiri,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Yozgat,,Yozgat,Yozgat,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Cure,,Derman,Curum,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Amasya,,Amasya,Amasya,,,City,,,,low,,,,(Aygen 2010)
